[2024-07-05 21:18:40.416473]; Lat: -33.458248; Long: -70.662046; Alt: 552.268;
[2024-07-05 21:18:41.419601]; Lat: -33.458248; Long: -70.662046; Alt: 552.268;
[2024-07-05 21:18:42.425738]; Lat: -33.458248; Long: -70.662046; Alt: 552.263;
[2024-07-05 21:18:43.431337]; Lat: -33.458248; Long: -70.662046; Alt: 552.263;
[2024-07-05 21:18:44.434312]; Lat: -33.458248; Long: -70.662046; Alt: 552.263;
[2024-07-05 21:18:45.440361]; Lat: -33.458246; Long: -70.662048; Alt: 552.224;
[2024-07-05 21:18:46.446092]; Lat: -33.458246; Long: -70.662048; Alt: 552.224;
[2024-07-05 21:18:47.449224]; Lat: -33.458246; Long: -70.662048; Alt: 552.224;
[2024-07-05 21:18:48.455250]; Lat: -33.45825; Long: -70.662048; Alt: 552.268;
[2024-07-05 21:18:49.460909]; Lat: -33.45825; Long: -70.662048; Alt: 552.268;
[2024-07-05 21:18:50.465842]; Lat: -33.45825; Long: -70.662048; Alt: 552.268;
[2024-07-05 21:18:51.471800]; Lat: -33.458246; Long: -70.662046; Alt: 552.187;
[2024-07-05 21:18:52.477303]; Lat: -33.458246; Long: -70.662046; Alt: 552.187;
[2024-07-05 21:18:53.480351]; Lat: -33.458246; Long: -70.662046; Alt: 552.187;
[2024-07-05 21:18:54.486405]; Lat: -33.458248; Long: -70.662046; Alt: 552.121;
[2024-07-05 21:18:55.491955]; Lat: -33.458248; Long: -70.662046; Alt: 552.121;
[2024-07-05 21:18:56.494495]; Lat: -33.458248; Long: -70.662046; Alt: 552.121;
[2024-07-05 21:18:57.499561]; Lat: -33.458248; Long: -70.662046; Alt: 552.094;
[2024-07-05 21:18:58.504366]; Lat: -33.458248; Long: -70.662046; Alt: 552.094;
[2024-07-05 21:18:59.507365]; Lat: -33.458248; Long: -70.662046; Alt: 552.094;
[2024-07-05 21:19:00.514790]; Lat: -33.458248; Long: -70.662046; Alt: 552.238;
[2024-07-05 21:19:01.520396]; Lat: -33.458248; Long: -70.662046; Alt: 552.238;
[2024-07-05 21:19:02.524074]; Lat: -33.458248; Long: -70.662046; Alt: 552.238;
[2024-07-05 21:19:03.530067]; Lat: -33.45825; Long: -70.662048; Alt: 552.461;
[2024-07-05 21:19:04.535507]; Lat: -33.45825; Long: -70.662048; Alt: 552.461;
[2024-07-05 21:19:05.538570]; Lat: -33.45825; Long: -70.662048; Alt: 552.461;
[2024-07-05 21:19:06.544765]; Lat: -33.458248; Long: -70.662048; Alt: 552.431;
[2024-07-05 21:19:07.551687]; Lat: -33.458248; Long: -70.662048; Alt: 552.431;
[2024-07-05 21:19:08.554599]; Lat: -33.458248; Long: -70.662048; Alt: 552.431;
[2024-07-05 21:19:09.560659]; Lat: -33.458248; Long: -70.662046; Alt: 552.358;
[2024-07-05 21:19:10.569094]; Lat: -33.458248; Long: -70.662046; Alt: 552.358;
[2024-07-05 21:19:11.573432]; Lat: -33.458248; Long: -70.662046; Alt: 552.358;
[2024-07-05 21:19:12.579774]; Lat: -33.458248; Long: -70.662046; Alt: 552.278;
[2024-07-05 21:19:13.585331]; Lat: -33.458248; Long: -70.662046; Alt: 552.278;
[2024-07-05 21:19:14.588251]; Lat: -33.458248; Long: -70.662046; Alt: 552.278;
[2024-07-05 21:19:15.594322]; Lat: -33.458248; Long: -70.662046; Alt: 552.227;
[2024-07-05 21:19:16.599845]; Lat: -33.458248; Long: -70.662046; Alt: 552.227;
