Gyro X:0.00, Y: 0.02, Z: -0.01 rads/s
Magnetometer X:9.15, Y: -7.95, Z: -25.05 uT

[2024-07-08 19:23:32.375450]Acceleration: X:6.48, Y: 1.70, Z: 7.42 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:9.30, Y: -8.25, Z: -25.20 uT

[2024-07-08 19:23:33.405887]Acceleration: X:6.52, Y: 1.63, Z: 7.39 m/s^2
Gyro X:-0.00, Y: 0.02, Z: -0.01 rads/s
Magnetometer X:7.80, Y: -9.45, Z: -25.65 uT

[2024-07-08 19:23:34.436270]Acceleration: X:6.54, Y: 1.68, Z: 7.45 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:7.50, Y: -8.25, Z: -24.45 uT

[2024-07-08 19:23:35.465982]Acceleration: X:6.51, Y: 1.75, Z: 7.43 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:10.05, Y: -8.55, Z: -25.20 uT

[2024-07-08 19:23:37.999593]Acceleration: X:6.48, Y: 1.70, Z: 7.42 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:9.30, Y: -9.00, Z: -25.95 uT

[2024-07-08 19:23:39.029301]Acceleration: X:6.47, Y: 1.68, Z: 7.43 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:9.60, Y: -8.40, Z: -26.25 uT

[2024-07-08 19:23:40.059630]Acceleration: X:6.49, Y: 1.72, Z: 7.34 m/s^2
Gyro X:-0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:9.60, Y: -9.15, Z: -27.00 uT

[2024-07-08 19:23:41.090078]Acceleration: X:6.52, Y: 1.70, Z: 7.41 m/s^2
Gyro X:-0.00, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:10.05, Y: -8.25, Z: -24.90 uT

[2024-07-08 19:23:42.120314]Acceleration: X:6.47, Y: 1.71, Z: 7.42 m/s^2
